freq,unit,category,sex,geo\TIME_PERIOD	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,RT_UNE,HRSTU,F,NL	: 	: 	2.9 	2.6 	1.5 b	1.1 	1.2 	0.9 	0.9 	1.2 	1.6 	2.6 b	2.2 b	1.9 	1.7 	2.1 	2.3 	2.3 b	2.6 	2.9 b	3.0 b	2.9 	2.7 	2.1 	1.8 	1.6 b	2.0 	2.2 b	2.1 	2.2 	2.2 
A,RT_UNE,HRSTU,F,NO	: 	: 	3.0 	2.4 	2.2 b	1.6 	1.7 	1.6 	1.9 	2.2 b	2.3 	1.9 b	1.4 b	1.2 	1.1 	1.3 	1.5 	1.4 b	1.1 	1.5 	1.9 b	2.0 	2.2 	1.8 	1.8 	1.7 	2.1 	2.2 b	1.7 	1.9 	2.3 
A,RT_UNE,HRSTU,F,PL	: 	: 	: 	2.2 	1.1 b	1.6 	3.0 b	3.6 b	4.2 	4.5 b	5.0 b	5.3 b	4.3 	3.6 	3.0 	3.4 	4.0 b	4.5 b	4.9 	5.1 	4.3 b	3.5 	2.9 	2.2 	1.6 	1.8 b	1.8 	1.6 b	1.1 	1.1 	1.3 
A,RT_UNE,HRSTU,F,PT	1.9 	2.5 	3.2 	2.1 	2.2 b	2.2 	2.1 	2.2 	3.9 	4.8 	3.6 b	5.3 b	5.6 	7.0 	6.4 	5.2 	6.3 	7.0 b	9.7 	11.2 	9.1 b	7.8 	7.0 	5.2 	4.5 	4.6 	4.6 	4.2 b	3.9 	3.9 	4.0 
A,RT_UNE,HRSTU,F,RO	: 	: 	: 	1.7 	1.6 b	1.3 u	1.4 u	2.0 	2.1 b	1.4 bu	1.6 	2.4 b	2.4 	1.8 	1.8 	2.8 	3.2 b	3.5 b	3.8 	4.1 	4.3 b	3.3 	2.4 	1.5 	1.5 	1.2 	1.8 	1.4 b	1.0 	1.1 	1.5 
A,RT_UNE,HRSTU,F,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.8 	16.0 b	17.9 	14.1 	12.6 b	12.7 	11.7 	10.4 	9.8 	7.1 	6.6 	7.7 b	5.3 	6.1 	5.4 
A,RT_UNE,HRSTU,F,SE	: 	3.6 	3.5 	2.7 	2.8 b	2.2 	1.7 	1.4 b	1.4 	1.7 	2.4 	2.9 b	3.1 b	2.5 	2.5 	3.1 	3.4 	3.0 b	3.0 	3.2 	3.1 b	3.0 	2.8 	2.8 	2.5 b	2.7 	3.6 	3.5 b	2.9 	3.3 	4.2 
A,RT_UNE,HRSTU,F,SI	: 	: 	1.3 u	2.0 u	1.4 bu	1.8 u	1.8 u	1.2 u	1.4 u	2.2 u	1.9 u	2.0 bu	2.5 	2.6 	2.4 	2.3 	3.1 	3.5 b	5.3 	5.3 	5.9 b	5.3 	5.2 	4.9 	3.5 	3.0 	2.8 	3.0 b	2.3 	1.8 bu	2.2 
A,RT_UNE,HRSTU,F,SK	: 	: 	: 	: 	1.4 b	1.4 b	1.4 	1.5 b	1.6 	1.9 b	2.5 	2.4 b	1.8 	2.3 	1.9 	2.2 	2.9 	3.7 b	4.7 	5.3 	5.0 b	4.7 	4.4 	3.4 	2.5 	2.0 	2.7 	2.3 b	1.9 	1.7 	1.7 
A,RT_UNE,HRSTU,F,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.5 	9.6 	10.5 	12.3 	12.3 	12.0 b	11.6 b	12.2 	13.8 b	14.6 	15.3 	16.6 	15.7 	17.1 	15.6 	15.8 b	14.4 	13.2 	12.3 
A,RT_UNE,HRSTU,F,UK	2.7 	2.7 	2.3 	2.3 	: 	1.5 b	1.4 	1.3 b	1.4 	1.3 	1.6 b	1.8 b	2.1 	1.9 b	2.2 b	2.8 	3.1 b	3.1 b	3.3 	2.9 	2.5 b	2.3 	2.5 	2.4 	2.0 	2.0 	: 	: 	: 	: 	: 
A,RT_UNE,HRSTU,M,AT	: 	0.8 u	1.2 u	0.9 u	0.9 bu	1.4 	1.2 u	0.9 u	1.0 u	1.3 	1.8 b	1.5 b	1.3 b	1.2 b	0.9 	1.1 	1.2 	1.1 b	1.1 	1.5 	2.6 b	2.8 	2.6 	2.2 	2.2 	1.9 	2.1 	2.9 b	2.3 	2.2 	2.6 
A,RT_UNE,HRSTU,M,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.6 b	5.0 	4.4 	3.6 
A,RT_UNE,HRSTU,M,BE	3.2 	2.5 	2.7 	2.3 	2.4 b	2.2 b	1.7 	2.1 b	2.5 	3.1 	2.8 	3.3 b	3.1 	2.8 	2.7 b	3.4 	3.4 	2.9 b	3.1 	3.7 	3.7 b	4.0 	3.3 	3.2 b	3.0 	2.7 	3.0 	3.1 b	2.8 	2.5 	2.6 
A,RT_UNE,HRSTU,M,BG	: 	: 	: 	: 	: 	: 	5.1 	6.3 b	5.7 	4.5 b	4.0 	3.4 b	3.0 b	1.8 u	1.5 bu	2.1 	3.7 b	4.2 b	5.0 	5.3 	4.5 b	3.3 	2.9 	2.6 	2.0 	1.4 b	2.1 	1.6 b	1.6 	1.4 	1.4 b
